Time kdamond target
1715048067 74000 50000
1715048070 3000 50000
1715048072 14000 50000
1715048073 16000 50000
1715048074 15000 50000
1715048076 16000 50000
1715048077 13900 50000
1715048078 15000 50000
1715048080 14000 50000
1715048081 13900 50000
1715048082 13900 50000
1715048084 13900 50000
1715048085 13900 50000
1715048086 14000 50000
1715048088 13900 50000
1715048089 13000 50000
1715048091 14000 50000
1715048092 14000 50000
1715048093 11000 50000
1715048095 9000 50000
1715048096 8000 50000
1715048097 8000 50000
1715048099 6000 50000
1715048100 6000 50000
1715048101 4000 50000
1715048103 4000 50000
1715048104 3000 50000
1715048106 3000 50000
1715048107 7000 50000
1715048108 43000 50000
1715048110 49000 50000
1715048111 69000 50000
1715048113 19800 50000
1715048114 29000 50000
1715048115 56000 50000
1715048117 39000 50000
1715048118 51000 50000
1715048120 50000 50000
1715048121 50000 50000
1715048123 49000 50000
1715048124 51000 50000
1715048125 39000 50000
1715048127 65000 50000
1715048128 35000 50000
1715048130 49000 50000
1715048132 85000 50000
1715048134 2000 50000
1715048135 3000 50000
1715048136 6000 50000
1715048138 44000 50000
1715048139 48500 50000
1715048141 68000 50000
1715048142 23000 50000
1715048144 30000 50000
1715048145 56000 50000
1715048146 41000 50000
1715048148 48000 50000
1715048149 51000 50000
1715048151 50000 50000
1715048152 48000 50000
1715048154 51000 50000
1715048155 50000 50000
1715048157 47500 50000
1715048158 53000 50000
1715048159 38600 50000
1715048161 60000 50000
1715048162 41000 50000
1715048164 3000 50000
1715048165 34000 50000
1715048166 97000 50000
1715048168 3000 50000
1715048169 3000 50000
1715048170 3000 50000
1715048172 4000 50000
1715048173 3000 50000
1715048175 3000 50000
1715048176 31000 50000
1715048177 50000 50000
1715048179 90000 50000
1715048181 3000 50000
1715048183 2000 50000
1715048184 3000 50000
1715048185 2000 50000
1715048187 49000 50000
1715048189 92000 50000
1715048191 3000 50000
1715048193 3000 50000
1715048194 3000 50000
1715048195 4000 50000
1715048197 30000 50000
1715048198 87000 50000
1715048200 3000 50000
1715048201 3000 50000
1715048203 3000 50000
1715048204 36000 50000
1715048206 100000 50000
1715048208 2000 50000
1715048209 2000 50000
1715048211 1000 50000
1715048212 2000 50000
1715048213 2000 50000
1715048215 2000 50000
1715048216 2000 50000
1715048217 1000 50000
1715048219 1000 50000
1715048220 2000 50000
1715048221 2000 50000
1715048223 2000 50000
1715048224 2000 50000
1715048226 2000 50000
1715048227 2000 50000
1715048228 3000 50000
1715048230 3000 50000
1715048231 3000 50000
1715048232 4000 50000
1715048234 3000 50000
1715048235 3000 50000
1715048236 2000 50000
1715048238 3000 50000
1715048239 28000 50000
1715048240 54000 50000
1715048242 62000 50000
1715048243 29000 50000
1715048245 45000 50000
1715048246 52000 50000
1715048247 41000 50000
1715048249 60000 50000
1715048250 42000 50000
1715048252 49000 50000
1715048253 70000 50000
1715048255 11000 50000
1715048256 32000 50000
1715048257 55000 50000
1715048259 44000 50000
1715048260 48000 50000
1715048262 51000 50000
1715048263 49000 50000
1715048265 14000 50000
1715048266 73000 50000
1715048267 22000 50000
1715048269 31000 50000
1715048270 57000 50000
1715048272 40000 50000
1715048273 45500 50000
1715048274 51500 50000
1715048276 48500 50000
1715048277 50000 50000
1715048279 49500 50000
1715048280 50000 50000
1715048282 49000 50000
1715048283 52000 50000
1715048285 49000 50000
1715048287 46000 50000
1715048288 54000 50000
1715048289 39000 50000
1715048291 57000 50000
1715048292 45000 50000
1715048293 49000 50000
1715048295 62400 50000
1715048296 28700 50000
1715048298 44000 50000
1715048299 53000 50000
1715048301 38600 50000
1715048302 61000 50000
1715048304 39000 50000
1715048305 36000 50000
1715048306 56000 50000
1715048308 44000 50000
1715048309 44000 50000
1715048311 53000 50000
1715048312 39000 50000
1715048314 60000 50000
1715048315 40000 50000
1715048317 37000 50000
1715048318 55400 50000
1715048319 45500 50000
1715048321 49500 50000
1715048322 64000 50000
1715048324 29000 50000
1715048325 36000 50000
1715048326 57400 50000
1715048328 43600 50000
1715048329 50000 50000
1715048331 66000 50000
1715048332 29000 50000
1715048333 30000 50000
1715048335 57000 50000
1715048336 44000 50000
1715048338 42000 50000
1715048339 54000 50000
1715048341 39000 50000
1715048342 56000 50000
1715048343 45000 50000
1715048345 50000 50000
1715048346 62400 50000
1715048348 29000 50000
1715048349 36600 50000
1715048351 63400 50000
1715048352 37000 50000
1715048353 49000 50000
1715048355 80000 50000
1715048357 8000 50000
1715048359 3000 50000
1715048360 33000 50000
1715048361 57000 50000
1715048363 39000 50000
1715048364 40600 50000
1715048365 19800 50000
1715048367 90000 50000
