Time kdamond
1715048675 52000
1715048676 100000
1715048677 100000
1715048678 100000
1715048679 99000
1715048681 89100
1715048682 100000
1715048683 90000
1715048684 90000
1715048685 100000
1715048686 92000
1715048688 90000
1715048689 90000
1715048690 90000
1715048691 90000
1715048692 90000
1715048694 90000
1715048695 100000
1715048696 100000
1715048697 100000
1715048698 96000
1715048700 91000
1715048701 90000
1715048702 89100
1715048703 89100
1715048704 89100
1715048705 89100
1715048707 90000
1715048708 89100
1715048709 78700
1715048710 95000
1715048711 98000
1715048712 100000
1715048713 100000
1715048714 100000
1715048716 100000
1715048717 98000
1715048718 96000
1715048719 95000
1715048720 94000
1715048722 92100
1715048723 91000
1715048724 90000
1715048725 90000
1715048726 90000
1715048728 89100
1715048729 90000
1715048730 89100
1715048731 89100
1715048732 89100
1715048734 89100
1715048735 90000
1715048736 90000
1715048737 90000
1715048738 90000
1715048739 90000
1715048741 90000
1715048742 90000
1715048743 90000
1715048744 90000
1715048745 90000
1715048747 90000
1715048748 91000
1715048749 90000
1715048750 90000
1715048751 90000
1715048753 90000
1715048754 90000
1715048755 90000
1715048756 90000
1715048757 90000
1715048759 90000
1715048760 90000
1715048761 93000
1715048762 95000
1715048763 90000
1715048764 90000
1715048766 90000
1715048767 90000
1715048768 90000
1715048769 90000
1715048770 89100
1715048772 80200
1715048773 5000
1715048774 41000
1715048775 97000
1715048776 97000
1715048778 92000
1715048779 90000
1715048780 90000
1715048781 90000
1715048782 90000
1715048783 90000
1715048785 91000
1715048786 90000
1715048787 90000
1715048788 89100
1715048789 90000
1715048791 90000
1715048792 90000
1715048793 90000
1715048794 90000
1715048795 90000
1715048797 89100
1715048798 89100
1715048799 90000
1715048800 90000
1715048801 90000
1715048803 90000
1715048804 90000
1715048805 93000
1715048806 98000
1715048807 100000
1715048808 99000
1715048810 95000
1715048811 90100
1715048812 89100
1715048813 89100
1715048814 89100
1715048816 89100
1715048817 90000
1715048818 91000
1715048819 90000
1715048820 90000
1715048822 90000
1715048823 90000
1715048824 90000
1715048825 89100
1715048826 90000
1715048828 90000
1715048829 90000
1715048830 90000
1715048831 90000
1715048832 90000
1715048834 94000
1715048835 98000
1715048836 89100
1715048837 89100
1715048838 90000
1715048839 90000
1715048841 90000
1715048842 90000
1715048843 91000
1715048844 90000
1715048845 98000
1715048847 90000
1715048848 89100
1715048849 89100
1715048850 90000
1715048851 90000
1715048853 90000
1715048854 90000
1715048855 90000
1715048856 90000
1715048857 90000
1715048859 95000
1715048860 97000
1715048861 89100
1715048862 90000
1715048863 90000
1715048864 90000
1715048866 90000
1715048867 90000
1715048868 90000
1715048869 90000
1715048870 96000
1715048872 89100
1715048873 58400
1715048874 40000
1715048875 90000
1715048876 90000
1715048878 90000
1715048879 90000
